gas_name,gas_year,gas_month,gas_average
Carbon D(C13/C12),1993,9,-7.531
Carbon D(C13/C12),1993,10,-7.775
Carbon D(C13/C12),1993,11,-7.994
Carbon D(C13/C12),1993,12,-8.143
Carbon D(C13/C12),1994,1,-8.227
Carbon D(C13/C12),1994,2,-8.287
Carbon D(C13/C12),1994,3,-8.307
Carbon D(C13/C12),1994,4,-8.299
Carbon D(C13/C12),1994,5,-8.297
Carbon D(C13/C12),1994,6,-8.136
Carbon D(C13/C12),1994,7,-7.761
Carbon D(C13/C12),1994,8,-7.461
Carbon D(C13/C12),1994,9,-7.566
Carbon D(C13/C12),1994,10,-7.873
Carbon D(C13/C12),1994,11,-8.132
Carbon D(C13/C12),1994,12,-8.277
Carbon D(C13/C12),1995,1,-8.343
Carbon D(C13/C12),1995,2,-8.366
Carbon D(C13/C12),1995,3,-8.361
Carbon D(C13/C12),1995,4,-8.344
Carbon D(C13/C12),1995,5,-8.352
Carbon D(C13/C12),1995,6,-8.221
Carbon D(C13/C12),1995,7,-7.819
Carbon D(C13/C12),1995,8,-7.541
Carbon D(C13/C12),1995,9,-7.643
Carbon D(C13/C12),1995,10,-7.931
Carbon D(C13/C12),1995,11,-8.177
Carbon D(C13/C12),1995,12,-8.312
Carbon D(C13/C12),1996,1,-8.364
Carbon D(C13/C12),1996,2,-8.375
Carbon D(C13/C12),1996,3,-8.375
Carbon D(C13/C12),1996,4,-8.387
Carbon D(C13/C12),1996,5,-8.446
Carbon D(C13/C12),1996,6,-8.375
Carbon D(C13/C12),1996,7,-8.012
Carbon D(C13/C12),1996,8,-7.698
Carbon D(C13/C12),1996,9,-7.74
Carbon D(C13/C12),1996,10,-7.936
Carbon D(C13/C12),1996,11,-8.101
Carbon D(C13/C12),1996,12,-8.246
Carbon D(C13/C12),1997,1,-8.328
Carbon D(C13/C12),1997,2,-8.369
Carbon D(C13/C12),1997,3,-8.391
Carbon D(C13/C12),1997,4,-8.401
Carbon D(C13/C12),1997,5,-8.425
Carbon D(C13/C12),1997,6,-8.279
Carbon D(C13/C12),1997,7,-7.879
Carbon D(C13/C12),1997,8,-7.626
Carbon D(C13/C12),1997,9,-7.72
Carbon D(C13/C12),1997,10,-7.965
Carbon D(C13/C12),1997,11,-8.135
Carbon D(C13/C12),1997,12,-8.26
Carbon D(C13/C12),1998,1,-8.332
Carbon D(C13/C12),1998,2,-8.379
Carbon D(C13/C12),1998,3,-8.412
Carbon D(C13/C12),1998,4,-8.429
Carbon D(C13/C12),1998,5,-8.459
Carbon D(C13/C12),1998,6,-8.326
Carbon D(C13/C12),1998,7,-7.923
Carbon D(C13/C12),1998,8,-7.644
Carbon D(C13/C12),1998,9,-7.756
Carbon D(C13/C12),1998,10,-8.01
Carbon D(C13/C12),1998,11,-8.253
Carbon D(C13/C12),1998,12,-8.413
Carbon D(C13/C12),1999,1,-8.471
Carbon D(C13/C12),1999,2,-8.492
Carbon D(C13/C12),1999,3,-8.493
Carbon D(C13/C12),1999,4,-8.49
Carbon D(C13/C12),1999,5,-8.51
Carbon D(C13/C12),1999,6,-8.353
Carbon D(C13/C12),1999,7,-7.969
Carbon D(C13/C12),1999,8,-7.659
Carbon D(C13/C12),1999,9,-7.745
Carbon D(C13/C12),1999,10,-7.998
Carbon D(C13/C12),1999,11,-8.251
Carbon D(C13/C12),1999,12,-8.418
Carbon D(C13/C12),2000,1,-8.47
Carbon D(C13/C12),2000,2,-8.47
Carbon D(C13/C12),2000,3,-8.456
Carbon D(C13/C12),2000,4,-8.453
Carbon D(C13/C12),2000,5,-8.49
Carbon D(C13/C12),2000,6,-8.369
Carbon D(C13/C12),2000,7,-7.96
Carbon D(C13/C12),2000,8,-7.666
Carbon D(C13/C12),2000,9,-7.74
Carbon D(C13/C12),2000,10,-7.978
Carbon D(C13/C12),2000,11,-8.178
Carbon D(C13/C12),2000,12,-8.302
Carbon D(C13/C12),2001,1,-8.384
Carbon D(C13/C12),2001,2,-8.444
Carbon D(C13/C12),2001,3,-8.472
Carbon D(C13/C12),2001,4,-8.472
Carbon D(C13/C12),2001,5,-8.478
Carbon D(C13/C12),2001,6,-8.344
Carbon D(C13/C12),2001,7,-7.938
Carbon D(C13/C12),2001,8,-7.643
Carbon D(C13/C12),2001,9,-7.726
Carbon D(C13/C12),2001,10,-8.001
Carbon D(C13/C12),2001,11,-8.249
Carbon D(C13/C12),2001,12,-8.413
Carbon D(C13/C12),2002,1,-8.476
Carbon D(C13/C12),2002,2,-8.483
Carbon D(C13/C12),2002,3,-8.468
Carbon D(C13/C12),2002,4,-8.458
Carbon D(C13/C12),2002,5,-8.494
Carbon D(C13/C12),2002,6,-8.404
Carbon D(C13/C12),2002,7,-8.03
Carbon D(C13/C12),2002,8,-7.734
Carbon D(C13/C12),2002,9,-7.825
Carbon D(C13/C12),2002,10,-8.061
Carbon D(C13/C12),2002,11,-8.233
Carbon D(C13/C12),2002,12,-8.38
Carbon D(C13/C12),2003,1,-8.494
Carbon D(C13/C12),2003,2,-8.579
Carbon D(C13/C12),2003,3,-8.616
Carbon D(C13/C12),2003,4,-8.593
Carbon D(C13/C12),2003,5,-8.578
Carbon D(C13/C12),2003,6,-8.418
Carbon D(C13/C12),2003,7,-8.026
Carbon D(C13/C12),2003,8,-7.777
Carbon D(C13/C12),2003,9,-7.88
Carbon D(C13/C12),2003,10,-8.16
Carbon D(C13/C12),2003,11,-8.374
Carbon D(C13/C12),2003,12,-8.519
Carbon D(C13/C12),2004,1,-8.558
Carbon D(C13/C12),2004,2,-8.559
Carbon D(C13/C12),2004,3,-8.562
Carbon D(C13/C12),2004,4,-8.568
Carbon D(C13/C12),2004,5,-8.576
Carbon D(C13/C12),2004,6,-8.393
Carbon D(C13/C12),2004,7,-8.001
Carbon D(C13/C12),2004,8,-7.712
Carbon D(C13/C12),2004,9,-7.819
Carbon D(C13/C12),2004,10,-8.063
Carbon D(C13/C12),2004,11,-8.287
Carbon D(C13/C12),2004,12,-8.441
Carbon D(C13/C12),2005,1,-8.526
Carbon D(C13/C12),2005,2,-8.587
Carbon D(C13/C12),2005,3,-8.613
Carbon D(C13/C12),2005,4,-8.615
Carbon D(C13/C12),2005,5,-8.623
Carbon D(C13/C12),2005,6,-8.468
Carbon D(C13/C12),2005,7,-8.096
Carbon D(C13/C12),2005,8,-7.804
Carbon D(C13/C12),2005,9,-7.91
Carbon D(C13/C12),2005,10,-8.201
Carbon D(C13/C12),2005,11,-8.431
Carbon D(C13/C12),2005,12,-8.549
Carbon D(C13/C12),2006,1,-8.59
Carbon D(C13/C12),2006,2,-8.604
Carbon D(C13/C12),2006,3,-8.612
Carbon D(C13/C12),2006,4,-8.626
Carbon D(C13/C12),2006,5,-8.676
Carbon D(C13/C12),2006,6,-8.575
Carbon D(C13/C12),2006,7,-8.188
Carbon D(C13/C12),2006,8,-7.915
Carbon D(C13/C12),2006,9,-8.012
Carbon D(C13/C12),2006,10,-8.274
Carbon D(C13/C12),2006,11,-8.48
Carbon D(C13/C12),2006,12,-8.584
Carbon D(C13/C12),2007,1,-8.624
Carbon D(C13/C12),2007,2,-8.649
Carbon D(C13/C12),2007,3,-8.668
Carbon D(C13/C12),2007,4,-8.674
Carbon D(C13/C12),2007,5,-8.677
Carbon D(C13/C12),2007,6,-8.525
Carbon D(C13/C12),2007,7,-8.104
Carbon D(C13/C12),2007,8,-7.815
Carbon D(C13/C12),2007,9,-7.914
Carbon D(C13/C12),2007,10,-8.19
Carbon D(C13/C12),2007,11,-8.421
Carbon D(C13/C12),2007,12,-8.581
Carbon D(C13/C12),2008,1,-8.679
Carbon D(C13/C12),2008,2,-8.737
Carbon D(C13/C12),2008,3,-8.755
Carbon D(C13/C12),2008,4,-8.739
Carbon D(C13/C12),2008,5,-8.736
Carbon D(C13/C12),2008,6,-8.57
Carbon D(C13/C12),2008,7,-8.157
Carbon D(C13/C12),2008,8,-7.892
Carbon D(C13/C12),2008,9,-7.988
Carbon D(C13/C12),2008,10,-8.27
Carbon D(C13/C12),2008,11,-8.49
Carbon D(C13/C12),2008,12,-8.642
Carbon D(C13/C12),2009,1,-8.69
Carbon D(C13/C12),2009,2,-8.7
Carbon D(C13/C12),2009,3,-8.706
Carbon D(C13/C12),2009,4,-8.711
Carbon D(C13/C12),2009,5,-8.726
Carbon D(C13/C12),2009,6,-8.567
Carbon D(C13/C12),2009,7,-8.143
Carbon D(C13/C12),2009,8,-7.853
Carbon D(C13/C12),2009,9,-7.96
Carbon D(C13/C12),2009,10,-8.206
Carbon D(C13/C12),2009,11,-8.433
Carbon D(C13/C12),2009,12,-8.575
Carbon D(C13/C12),2010,1,-8.629
Carbon D(C13/C12),2010,2,-8.666
Carbon D(C13/C12),2010,3,-8.697
Carbon D(C13/C12),2010,4,-8.699
Carbon D(C13/C12),2010,5,-8.688
Carbon D(C13/C12),2010,6,-8.505
Carbon D(C13/C12),2010,7,-8.136
Carbon D(C13/C12),2010,8,-7.885
Carbon D(C13/C12),2010,9,-8.032
Carbon D(C13/C12),2010,10,-8.304
Carbon D(C13/C12),2010,11,-8.542
Carbon D(C13/C12),2010,12,-8.681
Carbon D(C13/C12),2011,1,-8.724
Carbon D(C13/C12),2011,2,-8.746
Carbon D(C13/C12),2011,3,-8.761
Carbon D(C13/C12),2011,4,-8.765
Carbon D(C13/C12),2011,5,-8.758
Carbon D(C13/C12),2011,6,-8.562
Carbon D(C13/C12),2011,7,-8.157
Carbon D(C13/C12),2011,8,-7.86
Carbon D(C13/C12),2011,9,-7.995
Carbon D(C13/C12),2011,10,-8.322
Carbon D(C13/C12),2011,11,-8.573
Carbon D(C13/C12),2011,12,-8.688
Carbon D(C13/C12),2012,1,-8.714
Carbon D(C13/C12),2012,2,-8.72
Carbon D(C13/C12),2012,3,-8.736
Carbon D(C13/C12),2012,4,-8.759
Carbon D(C13/C12),2012,5,-8.775
Carbon D(C13/C12),2012,6,-8.614
Carbon D(C13/C12),2012,7,-8.184
Carbon D(C13/C12),2012,8,-7.92
Carbon D(C13/C12),2012,9,-8.062
Carbon D(C13/C12),2012,10,-8.37
Carbon D(C13/C12),2012,11,-8.583
Carbon D(C13/C12),2012,12,-8.687
Carbon D(C13/C12),2013,1,-8.739
Carbon D(C13/C12),2013,2,-8.784
Carbon D(C13/C12),2013,3,-8.809
Carbon D(C13/C12),2013,4,-8.802
Carbon D(C13/C12),2013,5,-8.812
Carbon D(C13/C12),2013,6,-8.708
Carbon D(C13/C12),2013,7,-8.345
Carbon D(C13/C12),2013,8,-8.071
Carbon D(C13/C12),2013,9,-8.182
Carbon D(C13/C12),2013,10,-8.439
Carbon D(C13/C12),2013,11,-8.619
Carbon D(C13/C12),2013,12,-8.739
Carbon D(C13/C12),2014,1,-8.785
Carbon D(C13/C12),2014,2,-8.806
Carbon D(C13/C12),2014,3,-8.815
Carbon D(C13/C12),2014,4,-8.816
Carbon D(C13/C12),2014,5,-8.841
Carbon D(C13/C12),2014,6,-8.711
Carbon D(C13/C12),2014,7,-8.316
Carbon D(C13/C12),2014,8,-8.042
Carbon D(C13/C12),2014,9,-8.111
Carbon D(C13/C12),2014,10,-8.368
Carbon D(C13/C12),2014,11,-8.578
Carbon D(C13/C12),2014,12,-8.737
Carbon D(O18/O16),1990,2,-0.485
Carbon D(O18/O16),1990,3,-0.38
Carbon D(O18/O16),1990,4,-0.329
Carbon D(O18/O16),1990,5,-0.342
Carbon D(O18/O16),1990,6,-0.249
Carbon D(O18/O16),1990,7,-0.119
Carbon D(O18/O16),1990,8,-0.341
Carbon D(O18/O16),1990,9,-0.778
Carbon D(O18/O16),1990,10,-1.099
Carbon D(O18/O16),1990,11,-1.128
Carbon D(O18/O16),1990,12,-0.899
Carbon D(O18/O16),1991,1,-0.547
Carbon D(O18/O16),1991,2,-0.284
Carbon D(O18/O16),1991,3,-0.077
Carbon D(O18/O16),1991,4,0.09
Carbon D(O18/O16),1991,5,0.134
Carbon D(O18/O16),1991,6,0.144
Carbon D(O18/O16),1991,7,0.055
Carbon D(O18/O16),1991,8,-0.373
Carbon D(O18/O16),1991,9,-0.904
Carbon D(O18/O16),1991,10,-1.101
Carbon D(O18/O16),1991,11,-1.005
Carbon D(O18/O16),1991,12,-0.76
Carbon D(O18/O16),1992,1,-0.471
Carbon D(O18/O16),1992,2,-0.261
Carbon D(O18/O16),1992,3,-0.063
Carbon D(O18/O16),1992,4,0.065
Carbon D(O18/O16),1992,5,0.061
Carbon D(O18/O16),1992,6,0.073
Carbon D(O18/O16),1992,7,0.063
Carbon D(O18/O16),1992,8,-0.266
Carbon D(O18/O16),1992,9,-0.71
Carbon D(O18/O16),1992,10,-0.876
Carbon D(O18/O16),1992,11,-0.802
Carbon D(O18/O16),1992,12,-0.579
Carbon D(O18/O16),1993,1,-0.327
Carbon D(O18/O16),1993,2,-0.124
Carbon D(O18/O16),1993,3,0.055
Carbon D(O18/O16),1993,4,0.162
Carbon D(O18/O16),1993,5,0.092
Carbon D(O18/O16),1993,6,-0.024
Carbon D(O18/O16),1993,7,-0.172
Carbon D(O18/O16),1993,8,-0.576
Carbon D(O18/O16),1993,9,-1.001
Carbon D(O18/O16),1993,10,-1.096
Carbon D(O18/O16),1993,11,-0.962
Carbon D(O18/O16),1993,12,-0.753
Carbon D(O18/O16),1994,1,-0.549
Carbon D(O18/O16),1994,2,-0.399
Carbon D(O18/O16),1994,3,-0.239
Carbon D(O18/O16),1994,4,-0.084
Carbon D(O18/O16),1994,5,-0.08
Carbon D(O18/O16),1994,6,-0.189
Carbon D(O18/O16),1994,7,-0.349
Carbon D(O18/O16),1994,8,-0.72
Carbon D(O18/O16),1994,9,-1.095
Carbon D(O18/O16),1994,10,-1.203
Carbon D(O18/O16),1994,11,-1.171
Carbon D(O18/O16),1994,12,-1.08
Carbon D(O18/O16),1995,1,-0.877
Carbon D(O18/O16),1995,2,-0.634
Carbon D(O18/O16),1995,3,-0.407
Carbon D(O18/O16),1995,4,-0.241
Carbon D(O18/O16),1995,5,-0.237
Carbon D(O18/O16),1995,6,-0.276
Carbon D(O18/O16),1995,7,-0.333
Carbon D(O18/O16),1995,8,-0.629
Carbon D(O18/O16),1995,9,-0.982
Carbon D(O18/O16),1995,10,-1.175
Carbon D(O18/O16),1995,11,-1.185
Carbon D(O18/O16),1995,12,-1.068
Carbon D(O18/O16),1996,1,-0.82
Carbon D(O18/O16),1996,2,-0.596
Carbon D(O18/O16),1996,3,-0.463
Carbon D(O18/O16),1996,4,-0.391
Carbon D(O18/O16),1996,5,-0.399
Carbon D(O18/O16),1996,6,-0.36
Carbon D(O18/O16),1996,7,-0.372
Carbon D(O18/O16),1996,8,-0.737
Carbon D(O18/O16),1996,9,-1.237
Carbon D(O18/O16),1996,10,-1.421
Carbon D(O18/O16),1996,11,-1.329
Carbon D(O18/O16),1996,12,-1.108
Carbon D(O18/O16),1997,1,-0.848
Carbon D(O18/O16),1997,2,-0.649
Carbon D(O18/O16),1997,3,-0.444
Carbon D(O18/O16),1997,4,-0.326
Carbon D(O18/O16),1997,5,-0.396
Carbon D(O18/O16),1997,6,-0.538
Carbon D(O18/O16),1997,7,-0.725
Carbon D(O18/O16),1997,8,-1.067
Carbon D(O18/O16),1997,9,-1.402
Carbon D(O18/O16),1997,10,-1.367
Carbon D(O18/O16),1997,11,-1.126
Carbon D(O18/O16),1997,12,-0.852
Carbon D(O18/O16),1998,1,-0.647
Carbon D(O18/O16),1998,2,-0.551
Carbon D(O18/O16),1998,3,-0.446
Carbon D(O18/O16),1998,4,-0.351
Carbon D(O18/O16),1998,5,-0.398
Carbon D(O18/O16),1998,6,-0.544
Carbon D(O18/O16),1998,7,-0.771
Carbon D(O18/O16),1998,8,-1.185
Carbon D(O18/O16),1998,9,-1.499
Carbon D(O18/O16),1998,10,-1.462
Carbon D(O18/O16),1998,11,-1.276
Carbon D(O18/O16),1998,12,-1.111
Carbon D(O18/O16),1999,1,-0.947
Carbon D(O18/O16),1999,2,-0.749
Carbon D(O18/O16),1999,3,-0.478
Carbon D(O18/O16),1999,4,-0.284
Carbon D(O18/O16),1999,5,-0.328
Carbon D(O18/O16),1999,6,-0.427
Carbon D(O18/O16),1999,7,-0.504
Carbon D(O18/O16),1999,8,-0.782
Carbon D(O18/O16),1999,9,-1.122
Carbon D(O18/O16),1999,10,-1.242
Carbon D(O18/O16),1999,11,-1.217
Carbon D(O18/O16),1999,12,-1.08
Carbon D(O18/O16),2000,1,-0.821
Carbon D(O18/O16),2000,2,-0.563
Carbon D(O18/O16),2000,3,-0.388
Carbon D(O18/O16),2000,4,-0.315
Carbon D(O18/O16),2000,5,-0.39
Carbon D(O18/O16),2000,6,-0.447
Carbon D(O18/O16),2000,7,-0.519
Carbon D(O18/O16),2000,8,-0.851
Carbon D(O18/O16),2000,9,-1.187
Carbon D(O18/O16),2000,10,-1.227
Carbon D(O18/O16),2000,11,-1.015
Carbon D(O18/O16),2000,12,-0.786
Carbon D(O18/O16),2001,1,-0.586
Carbon D(O18/O16),2001,2,-0.48
Carbon D(O18/O16),2001,3,-0.38
Carbon D(O18/O16),2001,4,-0.259
Carbon D(O18/O16),2001,5,-0.24
Carbon D(O18/O16),2001,6,-0.252
Carbon D(O18/O16),2001,7,-0.33
Carbon D(O18/O16),2001,8,-0.657
Carbon D(O18/O16),2001,9,-0.997
Carbon D(O18/O16),2001,10,-1.105
Carbon D(O18/O16),2001,11,-1.018
Carbon D(O18/O16),2001,12,-0.848
Carbon D(O18/O16),2002,1,-0.626
Carbon D(O18/O16),2002,2,-0.45
Carbon D(O18/O16),2002,3,-0.28
Carbon D(O18/O16),2002,4,-0.105
Carbon D(O18/O16),2002,5,-0.038
Carbon D(O18/O16),2002,6,-0.05
Carbon D(O18/O16),2002,7,-0.242
Carbon D(O18/O16),2002,8,-0.763
Carbon D(O18/O16),2002,9,-1.215
Carbon D(O18/O16),2002,10,-1.173
Carbon D(O18/O16),2002,11,-0.878
Carbon D(O18/O16),2002,12,-0.612
Carbon D(O18/O16),2003,1,-0.488
Carbon D(O18/O16),2003,2,-0.446
Carbon D(O18/O16),2003,3,-0.306
Carbon D(O18/O16),2003,4,-0.11
Carbon D(O18/O16),2003,5,-0.047
Carbon D(O18/O16),2003,6,-0.054
Carbon D(O18/O16),2003,7,-0.161
Carbon D(O18/O16),2003,8,-0.499
Carbon D(O18/O16),2003,9,-0.935
Carbon D(O18/O16),2003,10,-1.107
Carbon D(O18/O16),2003,11,-1.073
Carbon D(O18/O16),2003,12,-0.931
Carbon D(O18/O16),2004,1,-0.699
Carbon D(O18/O16),2004,2,-0.484
Carbon D(O18/O16),2004,3,-0.249
Carbon D(O18/O16),2004,4,-0.079
Carbon D(O18/O16),2004,5,-0.085
Carbon D(O18/O16),2004,6,-0.141
Carbon D(O18/O16),2004,7,-0.25
Carbon D(O18/O16),2004,8,-0.621
Carbon D(O18/O16),2004,9,-1.012
Carbon D(O18/O16),2004,10,-1.091
Carbon D(O18/O16),2004,11,-0.971
Carbon D(O18/O16),2004,12,-0.771
Carbon D(O18/O16),2005,1,-0.528
Carbon D(O18/O16),2005,2,-0.326
Carbon D(O18/O16),2005,3,-0.173
Carbon D(O18/O16),2005,4,-0.067
Carbon D(O18/O16),2005,5,-0.079
Carbon D(O18/O16),2005,6,-0.147
Carbon D(O18/O16),2005,7,-0.326
Carbon D(O18/O16),2005,8,-0.854
Carbon D(O18/O16),2005,9,-1.377
Carbon D(O18/O16),2005,10,-1.412
Carbon D(O18/O16),2005,11,-1.131
Carbon D(O18/O16),2005,12,-0.852
Carbon D(O18/O16),2006,1,-0.615
Carbon D(O18/O16),2006,2,-0.459
Carbon D(O18/O16),2006,3,-0.323
Carbon D(O18/O16),2006,4,-0.226
Carbon D(O18/O16),2006,5,-0.284
Carbon D(O18/O16),2006,6,-0.395
Carbon D(O18/O16),2006,7,-0.569
Carbon D(O18/O16),2006,8,-1.006
Carbon D(O18/O16),2006,9,-1.419
Carbon D(O18/O16),2006,10,-1.509
Carbon D(O18/O16),2006,11,-1.292
Carbon D(O18/O16),2006,12,-1.009
Carbon D(O18/O16),2007,1,-0.718
Carbon D(O18/O16),2007,2,-0.534
Carbon D(O18/O16),2007,3,-0.406
Carbon D(O18/O16),2007,4,-0.29
Carbon D(O18/O16),2007,5,-0.288
Carbon D(O18/O16),2007,6,-0.313
Carbon D(O18/O16),2007,7,-0.414
Carbon D(O18/O16),2007,8,-0.768
Carbon D(O18/O16),2007,9,-1.093
Carbon D(O18/O16),2007,10,-1.107
Carbon D(O18/O16),2007,11,-0.911
Carbon D(O18/O16),2007,12,-0.743
Carbon D(O18/O16),2008,1,-0.639
Carbon D(O18/O16),2008,2,-0.574
Carbon D(O18/O16),2008,3,-0.439
Carbon D(O18/O16),2008,4,-0.313
Carbon D(O18/O16),2008,5,-0.326
Carbon D(O18/O16),2008,6,-0.342
Carbon D(O18/O16),2008,7,-0.36
Carbon D(O18/O16),2008,8,-0.601
Carbon D(O18/O16),2008,9,-1.015
Carbon D(O18/O16),2008,10,-1.263
Carbon D(O18/O16),2008,11,-1.304
Carbon D(O18/O16),2008,12,-1.177
Carbon D(O18/O16),2009,1,-0.919
Carbon D(O18/O16),2009,2,-0.696
Carbon D(O18/O16),2009,3,-0.471
Carbon D(O18/O16),2009,4,-0.293
Carbon D(O18/O16),2009,5,-0.273
Carbon D(O18/O16),2009,6,-0.342
Carbon D(O18/O16),2009,7,-0.519
Carbon D(O18/O16),2009,8,-0.942
Carbon D(O18/O16),2009,9,-1.303
Carbon D(O18/O16),2009,10,-1.306
Carbon D(O18/O16),2009,11,-1.134
Carbon D(O18/O16),2009,12,-0.972
Carbon D(O18/O16),2010,1,-0.844
Carbon D(O18/O16),2010,2,-0.726
Carbon D(O18/O16),2010,3,-0.545
Carbon D(O18/O16),2010,4,-0.39
Carbon D(O18/O16),2010,5,-0.477
Carbon D(O18/O16),2010,6,-0.715
Carbon D(O18/O16),2010,7,-0.976
Carbon D(O18/O16),2010,8,-1.351
Carbon D(O18/O16),2010,9,-1.579
Carbon D(O18/O16),2010,10,-1.508
Carbon D(O18/O16),2010,11,-1.358
Carbon D(O18/O16),2010,12,-1.233
Carbon D(O18/O16),2011,1,-1.023
Carbon D(O18/O16),2011,2,-0.761
Carbon D(O18/O16),2011,3,-0.539
Carbon D(O18/O16),2011,4,-0.417
Carbon D(O18/O16),2011,5,-0.465
Carbon D(O18/O16),2011,6,-0.526
Carbon D(O18/O16),2011,7,-0.587
Carbon D(O18/O16),2011,8,-0.904
Carbon D(O18/O16),2011,9,-1.304
Carbon D(O18/O16),2011,10,-1.429
Carbon D(O18/O16),2011,11,-1.342
Carbon D(O18/O16),2011,12,-1.16
Carbon D(O18/O16),2012,1,-0.876
Carbon D(O18/O16),2012,2,-0.627
Carbon D(O18/O16),2012,3,-0.477
Carbon D(O18/O16),2012,4,-0.434
Carbon D(O18/O16),2012,5,-0.52
Carbon D(O18/O16),2012,6,-0.517
Carbon D(O18/O16),2012,7,-0.435
Carbon D(O18/O16),2012,8,-0.582
Carbon D(O18/O16),2012,9,-0.862
Carbon D(O18/O16),2012,10,-1.04
Carbon D(O18/O16),2012,11,-1.066
Carbon D(O18/O16),2012,12,-0.966
Carbon D(O18/O16),2013,1,-0.75
Carbon D(O18/O16),2013,2,-0.546
Carbon D(O18/O16),2013,3,-0.37
Carbon D(O18/O16),2013,4,-0.294
Carbon D(O18/O16),2013,5,-0.405
Carbon D(O18/O16),2013,6,-0.477
Carbon D(O18/O16),2013,7,-0.474
Carbon D(O18/O16),2013,8,-0.689
Carbon D(O18/O16),2013,9,-1.095
Carbon D(O18/O16),2013,10,-1.342
Carbon D(O18/O16),2013,11,-1.358
Carbon D(O18/O16),2013,12,-1.182
Carbon D(O18/O16),2014,1,-0.903
Carbon D(O18/O16),2014,2,-0.7
Carbon D(O18/O16),2014,3,-0.508
Carbon D(O18/O16),2014,4,-0.356
Carbon D(O18/O16),2014,5,-0.338
Carbon D(O18/O16),2014,6,-0.367
Carbon D(O18/O16),2014,7,-0.469
Carbon D(O18/O16),2014,8,-0.774
Carbon D(O18/O16),2014,9,-1.133
Carbon D(O18/O16),2014,10,-1.21
Carbon D(O18/O16),2014,11,-1.116
Carbon D(O18/O16),2014,12,-0.967
Carbon Dioxide,1971,5,332.35
Carbon Dioxide,1971,6,330.28
Carbon Dioxide,1971,7,323.78
Carbon Dioxide,1971,8,317.71
Carbon Dioxide,1971,9,318.74
Carbon Dioxide,1971,10,322.79
Carbon Dioxide,1971,11,327.23
Carbon Dioxide,1971,12,331.04
Carbon Dioxide,1972,1,333.49
Carbon Dioxide,1972,2,334.18
Carbon Dioxide,1972,3,334.12
Carbon Dioxide,1972,4,334.53
Carbon Dioxide,1972,5,335.61
Carbon Dioxide,1972,6,333.55
Carbon Dioxide,1972,7,324.88
Carbon Dioxide,1972,8,318.78
Carbon Dioxide,1972,9,321.87
Carbon Dioxide,1972,10,327.08
Carbon Dioxide,1972,11,330.51
Carbon Dioxide,1972,12,333.37
Carbon Dioxide,1973,1,334.67
Carbon Dioxide,1973,2,335.35
Carbon Dioxide,1973,3,336.45
Carbon Dioxide,1973,4,336.94
Carbon Dioxide,1973,5,336.54
Carbon Dioxide,1973,6,334.28
Carbon Dioxide,1973,7,327.83
Carbon Dioxide,1973,8,322.3
Carbon Dioxide,1973,9,323.49
Carbon Dioxide,1973,10,328.36
Carbon Dioxide,1973,11,331.93
Carbon Dioxide,1973,12,334.92
Carbon Dioxide,1974,1,337.09
Carbon Dioxide,1974,2,337.72
Carbon Dioxide,1974,3,337.81
Carbon Dioxide,1974,4,337.55
Carbon Dioxide,1974,5,338.73
Carbon Dioxide,1974,6,338.42
Carbon Dioxide,1974,7,330.93
Carbon Dioxide,1974,8,323.22
Carbon Dioxide,1974,9,324.12
